tracker,HOTA,DetA,AssA,MOTA,IDF1,IDsw,MT,ML
SORT,0.145,0.0715,0.4,-2.6594,0.1217,197,178,1119
ByteTrack,0.16,0.0921,0.4014,-1.5344,0.1423,406,172,1122
OC-SORT,0.148,0.0761,0.3998,-2.3064,0.1288,191,174,1119
BoT-SORT,0.1498,0.0778,0.3971,-2.2257,0.1261,907,175,1120
