Category,SiamRPN++_SR,SiamRPN++_NPR,SiamRPN++_PR,SiamRPN++_P@5,OSTrack-384_SR,OSTrack-384_NPR,OSTrack-384_PR,OSTrack-384_P@5,ODTrack_SR,ODTrack_NPR,ODTrack_PR,ODTrack_P@5,LoRAT-g378_SR,LoRAT-g378_NPR,LoRAT-g378_PR,LoRAT-g378_P@5,SAM 2_SR,SAM 2_NPR,SAM 2_PR,SAM 2_P@5,SAMURAI_SR,SAMURAI_NPR,SAMURAI_PR,SAMURAI_P@5,SAM 3_SR,SAM 3_NPR,SAM 3_PR,SAM 3_P@5
car,0.2241,0.3170,0.4873,0.4571,0.2283,0.2255,0.3706,0.3794,0.2500,0.2671,0.4584,0.4347,0.3441,0.4224,0.5146,0.5417,0.2845,0.3348,0.3951,0.3964,0.3488,0.4383,0.5065,0.5135,0.4477,0.5443,0.6543,0.6538
plane,0.6302,0.7001,0.7050,0.4283,0.7774,0.8629,0.8723,0.7463,0.5959,0.6693,0.6625,0.6186,0.6702,0.7292,0.7297,0.7417,0.6751,0.8618,0.8588,0.6691,0.6801,0.8619,0.8593,0.6710,0.7018,0.8628,0.8605,0.6618
ship,0.3814,0.4633,0.5774,0.3609,0.4241,0.4769,0.5398,0.5391,0.4798,0.5208,0.7780,0.5594,0.4976,0.7016,0.7742,0.8125,0.4161,0.4512,0.5190,0.5297,0.4168,0.4498,0.5209,0.5266,0.5836,0.6222,0.8208,0.6922
train,0.2431,0.4591,0.1153,0.0208,0.2674,0.5154,0.2018,0.1198,0.3735,0.7354,0.3007,0.1302,0.5347,0.7361,0.3211,0.1771,0.4050,0.4804,0.3078,0.1198,0.2656,0.3229,0.1717,0.0104,0.5216,0.7319,0.3244,0.1094
